token_address,label,price_t0,max_price_30m,age_seconds,liquidity_usd,volume_5m,volume_1h,volume_change_1m,price_change_5m,price_change_1h,buy_pressure_5m,buy_pressure_1h,buy_sell_ratio,tx_velocity_per_hour,fdv,liq_to_mcap
H43YFUx48FccaJMWnEyv487oWmpEhDrpuUNfWzsYpump,1,2.803e-05,8.755e-05,300,13509.87,3268.27,60178.35,1.5,-7.76,-33.41,0.654533553935383,0.592504109158769,1.454012475894196,660,27007.0,0.5002358462533475
8Qd6MW2pQrvjvLxUP7dTLMbkDxZr24JU7Dn6tAntpump,0,2.058e-05,2.235e-05,300,11949.39,994.66,69421.25,1.5,-7.61,-62.33,0.4615266275223712,0.5789470809597413,1.374998378539648,468,20134.0,0.5934930667779345
DBT5vdmZGmNBYuAa2cvLdktugYtr7oAEGbAvjvrXpump,0,4.816e-05,4.976e-05,300,17713.25,2207.54,23065.01,1.5,-1.31,75.38,0.5652051042368644,0.5370695532196145,1.160151718157351,552,48166.0,0.3677542173368306
2G8Qajwkb5Rjc6HjbnN7VocfeKSh8x5UzNf6kmcapump,0,0.0001311,0.0001504,300,29897.86,4618.53,112825.07,1.5,3.95,12.67,0.6029367431121829,0.5374115118063474,1.1617485638366594,1632,131160.0,0.22794952555695697
BsLHJ1ukwXLSDFMeXGnaze1kJNP6A6vThaV5QtcnstzU,0,9.338e-05,0.0001257,300,29677.27,13728.45,58405.73,1.5,5.79,85.56,0.5331795579415151,0.5506231667714879,1.2253038564885057,5244,93387.0,0.3177880184844998
ERPkkdbipNZzn3HqhaxkDF34k3X3FcCbWwaosR6pump,0,4.221e-05,4.571e-05,300,20476.42,46550.08,1138965.38,1.5,-9.1,-85.98,0.37994296618225115,0.4137231014190436,0.7056786689368665,8496,42214.0,0.4850622901155472
EHCQVTn6TH2u1u6uGDfcKgsg9rKcXum87tJgiF5mpump,0,2.147e-06,2.147e-06,300,3946.11,35.69,216.71,1.5,-1.07,-12.35,0.0,0.29997000299970006,0.428510212826739,12,2148.0,1.8371080832830151
6AZFhH8muXh3kpH7Kxp9b4WqaMCyDsWPAihU6eA4pump,0,2.804e-06,2.804e-06,300,4351.89,1065.45,423737.01,1.5,-0.76,-92.43,0.5714169098589825,0.4713851422881411,0.8917364606976048,588,2805.0,1.5514753827182237
EjwmeZ1pa1grBdoyajnigUHGLFLA6E1nk5fbRYf4pump,0,7.126e-05,7.321e-05,300,21524.93,7360.89,73818.86,1.5,-18.01,23.03,0.6809774173164581,0.6130786014450944,1.5845042526333581,1956,71265.0,0.30204068894912384
6gh8b2mqUrVb6Ew8Mwt89tNyN9keCDNstzT5cdp5pump,0,0.0001334,0.000183,300,53653.2,3076.58,11586.79,1.5,21.19,121.0,0.5384477321094331,0.5504536655627013,1.2244648068406767,468,133408.0,0.4021737796670831
F1srbXQBVoc1DffymhQc2ve7LBqhCHxm61KU3LTipump,0,8.343e-05,8.509e-05,300,23319.5,8730.47,79937.08,1.5,3.27,63.35,0.4921375909786306,0.5076199248511715,1.0309513939972825,7632,83437.0,0.27948631566947135
DD2xUzFzrg7Hx2DymyoqMjyVqaXfRwocaZjSXEtbpump,0,0.0001415,0.0001746,300,31538.13,31441.07,405821.36,1.5,-16.11,15.88,0.6060983404087161,0.6005519226723162,1.5034542829446607,9444,141525.0,0.2228449374821061
BsLHJ1ukwXLSDFMeXGnaze1kJNP6A6vThaV5QtcnstzU,0,0.0001107,0.0001409,300,32504.13,10978.54,150034.16,1.5,-3.31,83.76,0.522786802180155,0.543212243189845,1.1892005315186427,4476,110790.0,0.293385050154481
6XjY7mBgYNEV8tk6NxybMF1RdkSuWopCSHW9ejJ5DHwn,0,3.493e-05,4.65e-05,300,14971.82,2000.49,17210.98,1.5,-24.62,-41.29,0.5172324615092844,0.5889818030046546,1.4329823042149268,696,34938.0,0.42852537556456083
H43YFUx48FccaJMWnEyv487oWmpEhDrpuUNfWzsYpump,0,8.95e-05,8.95e-05,300,24218.95,10710.33,79027.9,1.5,10.04,286.0,0.6363610067726992,0.5959918577945328,1.4751976396837765,2904,86228.0,0.2808710595065285
8Qd6MW2pQrvjvLxUP7dTLMbkDxZr24JU7Dn6tAntpump,0,1.631e-05,1.693e-05,300,10621.79,3010.36,22275.66,1.5,-7.7,-16.92,0.5324606173945793,0.56973609245251,1.3241549720031438,924,14283.0,0.7436665445868135
7XyEECBvwdoDz35cSdBtUU4tv5gBbATPEGe3DS7Lpump,0,6.459e-05,9.714e-05,300,20275.43,46077.23,46077.23,1.5,74.78,74.78,0.7858483152374385,0.7858483152374385,3.6695873586459973,12720,64598.0,0.3138708580161792
6AZFhH8muXh3kpH7Kxp9b4WqaMCyDsWPAihU6eA4pump,0,2.117e-06,2.389e-06,300,3774.06,63.97,237012.93,1.5,0.0,-97.76,0.7998400319936012,0.458721775916485,0.8474787189031787,60,2118.0,1.7818971756859414
4JvgACrbHrLWvFmHkTLo7CnhfQAqrpAMgMe4fXgMpump,0,3.338e-05,4.901e-05,300,14507.63,3934.77,3934.77,1.5,-9.56,-9.56,0.6323436420052646,0.6323436420052646,1.7199312027518898,816,33381.0,0.43460739838209167
6gh8b2mqUrVb6Ew8Mwt89tNyN9keCDNstzT5cdp5pump,0,0.0001473,0.000148,300,56293.28,1971.55,109257.94,1.5,-0.22,144.0,0.5405259317315748,0.5648974980428587,1.2983090088011093,444,147295.0,0.3821805194868766
DD2xUzFzrg7Hx2DymyoqMjyVqaXfRwocaZjSXEtbpump,0,0.0001295,0.0001598,300,30205.1,12342.49,258597.25,1.5,-13.22,-42.24,0.6933314844493749,0.6250543438736618,1.6670531680010963,4500,129532.0,0.2331863922954452
EjwmeZ1pa1grBdoyajnigUHGLFLA6E1nk5fbRYf4pump,0,7.044e-05,7.649e-05,300,21347.26,538.25,38245.15,1.5,-1.13,53.06,0.42306065151340333,0.6050047823669398,1.5316762212776274,312,70445.0,0.3030344197170215
becsHPBa2f9rm7qhevDogxgnpBZnWHdh3eEa779pump,0,9.723e-05,0.0001368,300,25258.8,54670.89,248739.84,1.5,17.79,164.0,0.4471048959982116,0.5316912235815923,1.1353432827971517,6012,97233.0,0.2597759993029527
F1srbXQBVoc1DffymhQc2ve7LBqhCHxm61KU3LTipump,0,8.851e-05,0.0001095,300,24026.26,7163.54,105802.91,1.5,7.0,34.57,0.5112436113289186,0.4990369888935098,0.9961553604352418,8004,88514.0,0.27144022107869686
7XyEECBvwdoDz35cSdBtUU4tv5gBbATPEGe3DS7Lpump,0,9.616e-05,0.0001363,300,25299.7,32194.09,347696.8,1.5,-9.51,160.0,0.7625971303503579,0.7635584248860103,3.2293746331113518,10716,96161.0,0.2630973028244579
6AZFhH8muXh3kpH7Kxp9b4WqaMCyDsWPAihU6eA4pump,0,2.229e-06,2.231e-06,300,3856.43,1.98,626.74,1.5,-0.04,-7.91,0.0,0.4523701816623414,0.8260510412590757,12,2229.0,1.7301158680503057
EaLmTttwPKkjLoqzkDQNxBpRF2vLcE8xvBFwJfS9pump,0,8.688e-05,0.0001558,300,23659.4,136722.98,177700.67,1.5,-4.31,138.0,0.4705352941649159,0.5215537405248853,1.0900988986664086,13440,86884.0,0.2723102035782169
FNSsYaTdk2iM6D9PvEQH8icz1mxsA579CBrc6MNApump,1,1.939e-05,5.539e-05,300,11021.24,13298.77,13298.77,1.5,-46.08,-46.08,0.5919712643101529,0.5919712643101529,1.4508077802640962,3588,19394.0,0.5682808823202598
4JvgACrbHrLWvFmHkTLo7CnhfQAqrpAMgMe4fXgMpump,0,1.998e-05,1.998e-05,300,11219.59,2305.47,101632.47,1.5,-1.66,-45.85,0.5612187630738461,0.610335492140516,1.5663101971827713,1176,19987.0,0.5613443457575251
becsHPBa2f9rm7qhevDogxgnpBZnWHdh3eEa779pump,0,0.0001097,0.0001584,300,27985.4,51424.32,810449.83,1.5,2.91,198.0,0.5448263337325662,0.5133406735213072,1.054825512614074,5220,109749.0,0.2549945762148669
6gh8b2mqUrVb6Ew8Mwt89tNyN9keCDNstzT5cdp5pump,0,0.000135,0.0001747,300,53925.1,693.6,48792.32,1.5,3.62,-47.7,0.7390983000739098,0.5582378434121542,1.2636615316349467,276,135048.0,0.39930320775351574
F1srbXQBVoc1DffymhQc2ve7LBqhCHxm61KU3LTipump,0,0.0001221,0.0001416,300,28414.09,8501.04,113978.63,1.5,12.52,40.41,0.5209833270863573,0.5106621200154747,1.043577742298683,8292,122117.0,0.23267923194412546
7XyEECBvwdoDz35cSdBtUU4tv5gBbATPEGe3DS7Lpump,0,0.0001206,0.0001206,300,28677.56,24593.2,407015.48,1.5,-10.59,56.38,0.811297101806368,0.7739904934460328,3.4245926432356364,9984,120657.0,0.2376783755797146
6AZFhH8muXh3kpH7Kxp9b4WqaMCyDsWPAihU6eA4pump,0,2.196e-06,2.196e-06,300,3825.6,0.14,190.43,1.5,-0.23,1.68,0.0,0.39998400063997436,0.6666222251849877,12,2196.0,1.7420757094372905
EsoJKtCgQ9SbkjBVDJBdfX9MQyszFJYprJFuYyy2pump,1,3.879e-05,9.963e-05,300,15577.05,11433.33,11433.33,1.5,6.18,6.18,0.38686829609263024,0.38686829609263024,0.6309709539193511,11880,38800.0,0.4014703504775683
EaLmTttwPKkjLoqzkDQNxBpRF2vLcE8xvBFwJfS9pump,0,4.503e-05,4.503e-05,300,17231.83,10440.04,338155.89,1.5,-5.38,23.15,0.567897729026364,0.5224717972187127,1.0941171519831892,1944,45036.0,0.382623448294177
FNSsYaTdk2iM6D9PvEQH8icz1mxsA579CBrc6MNApump,0,4.43e-05,4.43e-05,300,16751.05,6524.62,92410.87,1.5,-23.66,23.18,0.5227233127021765,0.5632128876253365,1.2894448386156336,1584,44309.0,0.37805072608159235
4JvgACrbHrLWvFmHkTLo7CnhfQAqrpAMgMe4fXgMpump,0,5.002e-06,5.002e-06,300,5608.09,808.41,58925.83,1.5,16.52,-79.25,0.5526170363937791,0.5875944187526426,1.4247974456975365,456,5002.0,1.1211693080429213
becsHPBa2f9rm7qhevDogxgnpBZnWHdh3eEa779pump,1,0.0001388,0.0003346,300,32659.25,101629.81,980909.54,1.5,-12.46,22.23,0.5337945688135722,0.5344801224262016,1.148135983390894,6924,138850.0,0.23521245779465283
6gh8b2mqUrVb6Ew8Mwt89tNyN9keCDNstzT5cdp5pump,0,0.0001739,0.0001739,300,61228.09,63.99,17287.34,1.5,-0.08,22.89,0.4999166805532411,0.5382498954920889,1.1656735758960006,72,173915.0,0.35205755482817724
EsoJKtCgQ9SbkjBVDJBdfX9MQyszFJYprJFuYyy2pump,0,6.845e-05,0.0001006,300,21144.06,23996.03,205047.81,1.5,-5.54,87.35,0.731751157161353,0.6351662852164642,1.7409747495330115,13152,68458.0,0.3088617793557834
7XyEECBvwdoDz35cSdBtUU4tv5gBbATPEGe3DS7Lpump,0,2.296e-06,2.961e-06,300,4012.67,14445.14,262368.35,1.5,-97.08,-97.73,0.020833326655985043,0.5670731206192011,1.3098588875568713,37440,2296.0,1.747677810244856
EaLmTttwPKkjLoqzkDQNxBpRF2vLcE8xvBFwJfS9pump,0,5.283e-06,6.228e-06,300,5925.05,691.79,116412.63,1.5,22.56,-94.69,0.5483694074384697,0.4868975118776365,0.9489283781479587,372,5284.0,1.1213188642469978
DBT6MYpaBUYc3S7tAmVGJr8mU2wvS2tR86GDd1YWpump,0,7.24e-05,7.24e-05,300,21770.95,54081.69,205585.9,1.5,4.55,97.51,0.5581031221664798,0.5771035552740046,1.3646450862170847,7848,72404.0,0.30068711258097464
FNSsYaTdk2iM6D9PvEQH8icz1mxsA579CBrc6MNApump,0,3.359e-05,3.422e-05,300,14644.29,635.03,69165.7,1.5,-5.75,-19.25,0.4444279841487352,0.5450594217918449,1.1980892624233146,324,33591.0,0.4359587259694941
4JvgACrbHrLWvFmHkTLo7CnhfQAqrpAMgMe4fXgMpump,0,3.196e-06,3.714e-06,300,4498.3,44.08,7940.68,1.5,-3.68,-64.01,0.0,0.43875180678884906,0.7817429295915492,60,3196.0,1.4074776572347756
cUVWU6Y1roh2wLVNywg73tMEeJjmcCo8yhFMZhUBtGC,0,3.145e-05,3.145e-05,300,14077.61,28453.34,28453.34,1.5,-14.26,-14.26,0.5839992213343715,0.5839992213343715,1.403841654353672,9000,31458.0,0.4475049129790542
C3c314xn6WvuZDm35cb2g6YiRxQATBeJc71bpXUZpump,0,5.589e-05,9.564e-05,300,18832.11,38863.08,38863.08,1.5,51.61,51.61,0.8904527538703237,0.8904527538703237,8.128481411721237,27276,55899.0,0.33689528726998186
becsHPBa2f9rm7qhevDogxgnpBZnWHdh3eEa779pump,0,0.0002988,0.0003739,300,49548.34,79098.06,1025170.45,1.5,10.32,152.0,0.5381594165177759,0.5478301317975718,1.2115582446380928,6132,298801.0,0.1658238755364812
6gh8b2mqUrVb6Ew8Mwt89tNyN9keCDNstzT5cdp5pump,0,9.044e-05,9.337e-05,300,44336.75,608.68,30956.32,1.5,-2.71,-43.01,0.249992187744133,0.5360158135258188,1.1552458664572307,384,90436.0,0.49025553440824965
EsoJKtCgQ9SbkjBVDJBdfX9MQyszFJYprJFuYyy2pump,0,0.000116,0.0001664,300,27792.92,15829.77,262640.74,1.5,24.8,128.0,0.7799989600013867,0.7166501109426904,2.5292055462839533,9000,116013.0,0.23956728780768285
7XyEECBvwdoDz35cSdBtUU4tv5gBbATPEGe3DS7Lpump,0,2.714e-06,2.801e-06,300,4366.26,5.78,116001.04,1.5,0.48,-97.49,0.49975012493753124,0.3564339470006703,0.5538420576093401,24,2714.0,1.6087908589569422
DBT6MYpaBUYc3S7tAmVGJr8mU2wvS2tR86GDd1YWpump,0,2.106e-06,2.112e-06,300,3741.46,2.69,282488.65,1.5,-0.31,-94.25,0.0,0.5157950665046115,1.0652412456460936,24,2106.0,1.7765708563291278
EaLmTttwPKkjLoqzkDQNxBpRF2vLcE8xvBFwJfS9pump,0,6.066e-06,6.504e-06,300,6354.72,171.99,12336.49,1.5,25.56,-80.25,0.4999375078115236,0.36065499865778966,0.5641007560873202,96,6067.0,1.0474235952820843
